date_of_run,time_of_run,number_of_rows,sorting_algorithm,execution_time_in_seconds
2025-12-15,21:38:40,4,selection,0.000000
2025-12-15,21:38:40,4,bubble,0.000000
2025-12-15,21:38:40,4,insertion,0.000000
2025-12-15,21:38:40,4,quick,0.000000
2025-12-15,21:38:40,4,merge,0.000000
2025-12-15,21:39:52,4,selection,0.000000
2025-12-15,21:39:52,4,bubble,0.000000
2025-12-15,21:39:52,4,insertion,0.000000
2025-12-15,21:39:52,4,quick,0.000000
2025-12-15,21:39:52,4,merge,0.000000
2025-12-15,21:41:06,333,selection,0.025890
2025-12-15,21:41:17,333,quick,0.000000
2025-12-15,21:41:31,333,merge,0.000000
2025-12-15,21:41:42,333,bubble,0.014420
2025-12-15,21:41:52,333,insertion,0.000000
2025-12-15,21:43:29,4,selection,0.000000
2025-12-15,21:43:29,4,bubble,0.000000
2025-12-15,21:43:29,4,insertion,0.000000
2025-12-15,21:43:29,4,quick,0.000000
2025-12-15,21:43:29,4,merge,0.000000
2025-12-16,14:27:38,4,selection,0.000000
2025-12-16,14:27:38,4,bubble,0.000000
2025-12-16,14:27:38,4,insertion,0.000000
2025-12-16,14:27:38,4,quick,0.000000
2025-12-16,14:27:38,4,merge,0.000000
2025-12-16,14:27:57,4,selection,0.000000
2025-12-16,14:27:57,4,bubble,0.000000
2025-12-16,14:27:57,4,insertion,0.000000
2025-12-16,14:27:57,4,quick,0.000000
2025-12-16,14:27:57,4,merge,0.000000
2025-12-16,14:34:02,333,selection,0.026351
2025-12-16,16:04:58,333,selection,0.022496
2025-12-16,20:38:49,4,selection,0.000000
2025-12-16,20:38:49,4,bubble,0.000000
2025-12-16,20:38:49,4,insertion,0.000000
2025-12-16,20:38:49,4,quick,0.000000
2025-12-16,20:38:49,4,merge,0.000000
2025-12-16,21:01:09,333,selection,0.015069
2025-12-17,09:55:54,4,selection,0.000000
2025-12-17,09:55:54,4,bubble,0.000000
2025-12-17,09:55:54,4,insertion,0.000000
2025-12-17,09:55:54,4,quick,0.000000
2025-12-17,09:55:54,4,merge,0.000000
2025-12-17,09:57:10,333,selection,0.008324
2025-12-17,09:57:10,333,bubble,0.016593
2025-12-17,09:57:10,333,quick,0.000000
2025-12-17,10:00:14,4,selection,0.000516
2025-12-17,10:00:14,4,bubble,0.000000
2025-12-17,10:00:14,4,insertion,0.000000
2025-12-17,10:00:14,4,quick,0.000000
2025-12-17,10:00:14,4,merge,0.000000
2025-12-17,10:00:18,333,bubble,0.007684
2025-12-17,10:00:18,333,quick,0.000000
2025-12-17,10:01:05,4,selection,0.000000
2025-12-17,10:01:05,4,bubble,0.000000
2025-12-17,10:01:05,4,insertion,0.000000
2025-12-17,10:01:05,4,quick,0.000000
2025-12-17,10:01:05,4,merge,0.000000
2025-12-17,10:01:08,333,bubble,0.012000
2025-12-17,10:01:08,333,quick,0.000000
2025-12-17,11:09:34,333,selection,0.014789
